Rank,Name,Country
1739.0,Samara National Research University (Samara University),Russian Federation
1740.0,Federal University of Pelotas,Brazil
1741.0,Yeditepe University,Turkey
1742.0,Eskişehir Osmangazi University,Turkey
1743.0,Shimane University,Japan
1744.0,University of Sri Jayewardenepura,Sri Lanka
1745.0,Ankara Yildirim Beyazit University,Turkey
1746.0,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil
1747.0,University of Zambia,Zambia
1748.0,Cukurova University,Turkey
1749.0,Indira Gandhi Delhi Technical University for Women,India
1750.0,Reshetnev Siberian State University of Science and Technology,Russian Federation
1751.0,Ondokuz Mayis University,Turkey
1752.0,Université Chouaïb Doukkali,Morocco
1753.0,University of Oum El Bouaghi,Algeria
1753.0,Tamil Nadu Agricultural University,India
1755.0,Vietnam National University (Ho Chi Minh City),Vietnam
1756.0,El Bosque University,Colombia
1757.0,Sikkim Manipal University,India
1758.0,Adelphi University,United States
1759.0,Russian Presidential Academy of National Economy and Public Administration,Russian Federation
1760.0,Pavlov First Saint Petersburg State Medical University,Russian Federation
1761.0,"Federal University of Technology, Owerri",Nigeria
1762.0,Bharath Institute of Higher Education and Research,India
1763.0,Sofia University,Bulgaria
1764.0,University of Miskolc,Hungary
1765.0,National Taipei University,Taiwan
1766.0,Universitas Pendidikan Indonesia,Indonesia
1767.0,Universitas Muhammadiyah Malang,Indonesia
1768.0,University of Fukui,Japan
1769.0,University of Los Lagos,Chile
1770.0,Saints Cyril and Methodius University in Skopje,North Macedonia
1771.0,University of Baghdad,Iraq
1772.0,Recep Tayyip Erdoğan University,Turkey
1773.0,University of Craiova,Romania
1774.0,M S Ramaiah University of Applied Sciences (RUAS),India
1775.0,Mindanao State University – Iligan Institute of Technology,Philippines
1776.0,University of Passo Fundo (UPF),Brazil
1777.0,Kochi University of Technology,Japan
1778.0,University of Phayao,Thailand
1779.0,Université Hassan 1er,Morocco
1780.0,Bolu Abant Izzet Baysal University,Turkey
1781.0,Misr University for Science and Technology,Egypt
1782.0,Kathmandu University,Nepal
1783.0,National University of San Martín,Argentina
1784.0,Federal University of Mato Grosso do Sul,Brazil
1785.0,National Pingtung University of Science and Technology,Taiwan
1786.0,Altınbaş University,Turkey
1787.0,Burdur Mehmet Akif Ersoy University,Turkey
1788.0,Universitas Negeri Yogyakarta,Indonesia
1789.0,Bharati Vidyapeeth University,India
1790.0,Universitas Sumatera Utara,Indonesia
1791.0,Shanxi Medical University,China
1792.0,University of West Attica,Greece
1793.0,PSG College of Technology,India
1794.0,Ionian University,Greece
1795.0,Escuela Politécnica Nacional,Ecuador
1796.0,Rzeszów University of Technology,Poland
1797.0,Samara State Medical University,Russian Federation
1798.0,Bialystok University of Technology,Poland
1799.0,Széchenyi István University,Hungary
1800.0,Ibn Khaldoun University,Algeria
1801.0,Bursa Uludağ University,Turkey
1802.0,Silpakorn University,Thailand
1803.0,Erzincan Binali Yıldırım University,Turkey
1804.0,Universidad Católica del Maule,Chile
1805.0,Kenyatta University,Kenya
1806.0,Lviv Polytechnic National University,Ukraine
1807.0,Université Kasdi Merbah Ouargla,Algeria
1808.0,Mapúa University,Philippines
1809.0,Kharkiv Aviation Institute,Ukraine
1810.0,Muroran Institute of Technology,Japan
1811.0,R V College of Engineering,India
1812.0,Oita University,Japan
1812.0,Federal Rural University of Pernambuco,Brazil
1814.0,Sivas Cumhuriyet University,Turkey
1815.0,Grigore T. Popa University of Medicine and Pharmacy,Romania
1816.0,Technical University of Sofia,Bulgaria
1817.0,University of Sistan and Baluchestan,Iran
1818.0,Volgograd State University,Russian Federation
1819.0,Universidade Federal de Sergipe,Brazil
1820.0,Matej Bel University,Slovakia
1821.0,"Soochow University, Taiwan",Taiwan
1822.0,University of Karachi,Pakistan
1823.0,National Chi Nan University,Taiwan
1824.0,Georgian Technical University,Georgia
1825.0,Ferhat Abbas Sétif University 1,Algeria
1826.0,University of Shizuoka,Japan
1827.0,Thiagarajar College of Engineering,India
1828.0,Université 8 Mai 1945 Guelma,Algeria
1829.0,National Chiayi University,Taiwan
1830.0,University of Montenegro,Montenegro
1831.0,University of Dar es Salaam,Tanzania
1832.0,University of Valparaíso,Chile
1833.0,Kanazawa Medical University,Japan
1834.0,Universidade Tecnológica Federal do Paraná (UTFPR),Brazil
1835.0,Tomsk State University of Control Systems and Radioelectronics,Russian Federation
1836.0,Ming Chuan University,Taiwan
1837.0,Federal University of Pará,Brazil
1838.0,Muş Alparslan University,Turkey
1839.0,Universidade do Estado de Santa Catarina,Brazil
1840.0,Belgorod State National Research University,Russian Federation
1841.0,Kirikkale University,Turkey
1842.0,Vali-e-Asr University of Rafsanjan,Iran
1843.0,University of Mascara,Algeria
1844.0,Catholic University of Brasília,Brazil
1845.0,NED University of Engineering and Technology,Pakistan
1846.0,Mustansiriyah University,Iraq
1847.0,GITAM University,India
1848.0,Universitas Andalas,Indonesia
1849.0,Kharkiv National University of Radio Electronics,Ukraine
1850.0,V.N. Karazin Kharkiv National University,Ukraine
1851.0,Gdynia Maritime University,Poland
1852.0,Irkutsk National Research Technical University,Russian Federation
1853.0,Bozok University,Turkey
1854.0,Sophia University,Japan
1855.0,State University of Ponta Grossa,Brazil
1856.0,University of Rwanda,Rwanda
1857.0,Oran 1 University,Algeria
1858.0,University of Brawijaya,Indonesia
1859.0,Jianghan University,China
1860.0,University of Sarajevo,Bosnia and Herzegovina
1861.0,Naresuan University,Thailand
1862.0,"Federal University of Agriculture, Abeokuta",Nigeria
1863.0,Hasanuddin University,Indonesia
1864.0,University of Namibia,Namibia
1865.0,Nara Women’s University,Japan
1866.0,Latvia University of Life Sciences and Technologies,Latvia
1867.0,Universidad Industrial de Santander (UIS),Colombia
1868.0,Universidad Pontificia Bolivariana (UPB),Colombia
1869.0,Bilecik Şeyh Edebali University,Turkey
1870.0,National Ilan University,Taiwan
1871.0,Alberto Hurtado University,Chile
1872.0,Larbi Tebessi University,Algeria
1873.0,Baku State University,Azerbaijan
1874.0,Lagos State University,Nigeria
1875.0,National University of Comahue (UNCo),Argentina
1876.0,University of Birjand,Iran
1877.0,University of Hyogo,Japan
1878.0,Jean Moulin University – Lyon 3,France
1879.0,Eskişehir Technical University,Turkey
1880.0,University of Cuenca,Ecuador
1881.0,Mendeleev University of Chemical Technology,Russian Federation
1882.0,University of Port Harcourt,Nigeria
1883.0,University of Taipei,Taiwan
1884.0,Adana Alparslan Türkeş Science and Technology University,Turkey
1885.0,Universidad San Ignacio de Loyola,Peru
1886.0,National Technical University Kharkiv Polytechnic Institute,Ukraine
1887.0,North-Caucasus Federal University,Russian Federation
1888.0,State University of Santa Cruz,Brazil
1889.0,National University of Córdoba,Argentina
1890.0,National University of Life and Environmental Sciences of Ukraine,Ukraine
1891.0,Sri Ramachandra Institute of Higher Education and Research,India
1892.0,University of Biskra,Algeria
1893.0,Al-Muthanna University,Iraq
1894.0,Kogakuin University,Japan
1895.0,Bursa Technical University,Turkey
1896.0,Universitas Negeri Padang,Indonesia
1897.0,Niğde Ömer Halisdemir University,Turkey
1898.0,Voronezh State Technical University,Russian Federation
1899.0,Gheorghe Asachi Technical University of Iaşi,Romania
1900.0,Chuo University,Japan
1901.0,Mersin University,Turkey
1902.0,National University of Cuyo,Argentina
1903.0,North-Eastern Federal University,Russian Federation
1904.0,Universidad Panamericana (UP),Mexico
1905.0,Iwate University,Japan
1906.0,Perm National Research Polytechnic University,Russian Federation
1907.0,Federal University of Itajubá,Brazil
1908.0,Novosibirsk State Technical University,Russian Federation
1909.0,Zonguldak Bülent Ecevit University,Turkey
1910.0,Temuco Catholic University,Chile
1911.0,Osaka Institute of Technology,Japan
1912.0,University of Abou Bekr Belkaïd Tlemcen,Algeria
1913.0,National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic Institute,Ukraine
1914.0,Tokyo University of Agriculture,Japan
1915.0,Yanbian University,China
1916.0,University of Prishtina,Kosovo
1917.0,Universidad Científica del Sur,Peru
1918.0,Universidad del Valle,Colombia
1919.0,Universitas Muhammadiyah Yogyakarta,Indonesia
1920.0,University of Medellín,Colombia
1921.0,Chubu University,Japan
1922.0,Çankırı Karatekin University,Turkey
1923.0,Uşak University,Turkey
1924.0,Kazan National Research Technological University,Russian Federation
1925.0,Universidad Autónoma de Querétaro,Mexico
1926.0,Kwansei Gakuin University,Japan
1927.0,Başkent University,Turkey
1928.0,EAFIT University,Colombia
1929.0,University of Béjaïa,Algeria
1930.0,Instituto Politécnico Nacional (IPN),Mexico
1931.0,Platov South-Russian State Polytechnic University (NPI),Russian Federation
1932.0,Universidad Autónoma Chapingo,Mexico
1933.0,Dumlupinar University,Turkey
1934.0,Kocaeli University,Turkey
1935.0,Pontificia Universidad Católica del Ecuador,Ecuador
1936.0,Tikrit University,Iraq
1937.0,Afyon Kocatepe University,Turkey
1938.0,Ivane Javakhishvili Tbilisi State University,Georgia
1939.0,Srinakharinwirot University,Thailand
1940.0,Sichuan University of Science and Engineering,China
1941.0,University of Caxias do Sul,Brazil
1942.0,Ibaraki University,Japan
1943.0,"University of the Andes, Venezuela",Venezuela
1944.0,Jan Kochanowski University in Kielce,Poland
1945.0,Gubkin Russian State University of Oil and Gas,Russian Federation
1946.0,Ordu University,Turkey
1947.0,M’Hamed Bougara University of Boumerdès,Algeria
1948.0,Ufa State Petroleum Technological University,Russian Federation
1949.0,Tokyo City University,Japan
1950.0,Hue University,Vietnam
1951.0,North-Western State Medical University named after I.I. Mechnikov,Russian Federation
1952.0,Herzen State Pedagogical University of Russia,Russian Federation
1953.0,National University of Kaohsiung,Taiwan
1954.0,Benemérita Universidad Autónoma de Puebla,Mexico
1955.0,Yerevan State University,Armenia
1956.0,Meiji University,Japan
1957.0,Bogomolets National Medical University,Ukraine
1958.0,Mackenzie Presbyterian University,Brazil
1959.0,University of Bío-Bío,Chile
1960.0,Blida 1 University,Algeria
1961.0,Pontifical Catholic University of Argentina,Argentina
1962.0,Mugla Sitki Kocman University,Turkey
1963.0,Universidad Nacional Agraria La Molina,Peru
1964.0,Aksaray University,Turkey
1965.0,Kırşehir Ahi Evran University,Turkey
1966.0,University of Fortaleza (UNIFOR),Brazil
1967.0,Privolzhsky Research Medical University,Russian Federation
1968.0,Doshisha University,Japan
1969.0,Utsunomiya University,Japan
1970.0,Voronezh State University,Russian Federation
1971.0,Bernardo O’Higgins University,Chile
1972.0,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil
1973.0,Universidade Federal da Grande Dourados,Brazil
1974.0,Universidade Estadual de Feira de Santana (UEFS),Brazil
1975.0,National University of Medical Sciences (NUMS),Pakistan
1976.0,Ivan Franko National University of Lviv,Ukraine
1977.0,Volgograd State Technical University,Russian Federation
1978.0,Universitas Negeri Surabaya,Indonesia
1979.0,Manisa Celal Bayar University,Turkey
1980.0,Ceará State University,Brazil
1981.0,Russian State University for the Humanities,Russian Federation
1982.0,Université Frères Mentouri Constantine 1,Algeria
1983.0,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca (CEFET-RJ),Brazil
1984.0,National United University,Taiwan
1985.0,Kazan State Power Engineering University,Russian Federation
1986.0,University Mohamed Boudiaf of M’Sila,Algeria
1987.0,Southwest State University,Russian Federation
1988.0,Okayama University of Science,Japan
1989.0,Chinese Culture University,Taiwan
1990.0,Toyama Prefectural University,Japan
1991.0,University of Sciences and Technology Houari Boumediene,Algeria
1992.0,National University of Mongolia,Mongolia
1993.0,Ryukoku University,Japan
1994.0,University of Science and Technology of Oran Mohamed-Boudiaf,Algeria
1995.0,Perm State University,Russian Federation
1996.0,Saint Petersburg State Pediatric Medical University,Russian Federation
1997.0,Trakya University,Turkey
1998.0,Universidad Nacional del Litoral,Argentina
1999.0,Islamic University of Indonesia,Indonesia
2000.0,CES University,Colombia
2001.0,Vasyl Stefanyk Precarpathian National University,Ukraine
2002.0,University of Thi-Qar,Iraq
2003.0,Polytechnic Institute of Setúbal,Portugal
2004.0,University of Guanajuato,Mexico
2005.0,Payame Noor University,Iran
2006.0,Hitit University,Turkey
2007.0,Russian University of Transport (MIIT),Russian Federation
2008.0,University of Laghouat,Algeria
2009.0,Pamukkale University,Turkey
2010.0,Ekiti State University,Nigeria
2011.0,Kanagawa University,Japan
2012.0,Universidade Federal do Maranhão (UFMA),Brazil
2013.0,Odesa I.I. Mechnikov National University,Ukraine
2014.0,Volgograd State Medical University,Russian Federation
2015.0,Meijo University,Japan
2016.0,Universidad Autónoma de Yucatán,Mexico
2017.0,Middle Technical University,Iraq
2018.0,Aoyama Gakuin University,Japan
2019.0,Azerbaijan State Oil and Industry University,Azerbaijan
2020.0,University of Basrah,Iraq
2021.0,University of Mosul,Iraq
2022.0,Tokyo University of Technology,Japan
2023.0,Universidad Autónoma de Nuevo León (UANL),Mexico
2024.0,Kansai University,Japan
2025.0,Chiba Institute of Technology,Japan
2026.0,University of Pernambuco,Brazil
2027.0,Pontifical Catholic University of Minas Gerais,Brazil
2027.0,Northern (Arctic) Federal University named after M.V. Lomonosov,Russian Federation
2029.0,Ogarev Mordovia State University,Russian Federation
2030.0,Universidad Santo Tomás,Chile
2031.0,Ufa University of Science and Technology,Russian Federation
2032.0,University of Lampung,Indonesia
2033.0,Universidad Autónoma del Estado de Mexico (UAEMex),Mexico
2034.0,Tokyo Denki University,Japan
2035.0,University of Guadalajara,Mexico
2036.0,Ovidius University of Constanța,Romania
2037.0,Burapha University,Thailand
2038.0,Nizhny Novgorod State Technical University n.a. R.E. Alekseev,Russian Federation
2039.0,University of Sonora,Mexico
2040.0,University Abdelhamid Ibn Badis Mostaganem,Algeria
2041.0,University of Kelaniya,Sri Lanka
2042.0,Damascus University,Syria
2043.0,Université Mouloud Mammeri de Tizi-Ouzou,Algeria
2044.0,MIREA - Russian Technological University,Russian Federation
2045.0,Universidad Politécnica Salesiana,Ecuador
2046.0,University of Batna 2,Algeria
2047.0,Toyo University,Japan
2048.0,Universidad Autónoma del Estado de Morelos,Mexico
2049.0,Oles Honchar Dnipro National University,Ukraine
2050.0,Sri Lanka Institute of Information Technology,Sri Lanka
2051.0,University of Kerbala,Iraq
2052.0,Industrial University of Tyumen,Russian Federation
2053.0,Universidad Autónoma de Coahuila,Mexico
2054.0,University of Jijel,Algeria
2055.0,Universidade Nove de Julho (Uninove),Brazil
2056.0,Autonomous University of Baja California,Mexico
2057.0,Yuriy Fedkovych Chernivtsi National University,Ukraine
2058.0,Jember University,Indonesia
2059.0,Mahasarakham University,Thailand
2060.0,Universitas Sriwijaya,Indonesia
2061.0,Uzhhorod National University,Ukraine
2062.0,Al-Furat Al-Awsat Technical University,Iraq
2063.0,Siberian State Medical University,Russian Federation
2064.0,Northern Technical University,Iraq
2065.0,Universidad Peruana de Ciencias Aplicadas (UPC),Peru
2066.0,Trakia University,Bulgaria
2067.0,Samara State Technical University,Russian Federation
2068.0,National Formosa University,Taiwan
2069.0,Universidad Distrital Francisco José de Caldas,Colombia
2070.0,Nueva Granada Military University,Colombia
2071.0,Universidad Autónoma de Ciudad Juárez,Mexico
2072.0,Universidad de las Fuerzas Armadas – ESPE,Ecuador
2073.0,Universidad Michoacana de San Nicolás de Hidalgo,Mexico
2074.0,Federal University Oye-Ekiti,Nigeria
2075.0,Irkutsk State University,Russian Federation
2076.0,Kemerovo State University,Russian Federation
2077.0,Universidad Autónoma del Estado de Hidalgo,Mexico
2078.0,University of Mataram,Indonesia
2079.0,Universidade Federal Rural do Semi-Arido,Brazil
2080.0,Penza State University,Russian Federation
2081.0,Ivanovo State University of Chemistry and Technology,Russian Federation
2082.0,Universidad Técnica de Manabí,Ecuador
2083.0,Universidad Técnica Particular de Loja,Ecuador
2084.0,"Federal Institute of Education, Science and Technology of São Paulo",Brazil
2085.0,Chelyabinsk State University,Russian Federation
2086.0,Omsk State Technical University,Russian Federation
2087.0,State University of Bahia,Brazil
2088.0,Technological University of Pereira,Colombia
2089.0,Universidad Pedagogica y Tecnologica de Colombia - UPTC,Colombia
2090.0,Instituto Tecnológico Metropolitano,Colombia
2091.0,Tula State University,Russian Federation
2092.0,Universidade Estadual do Maranhão,Brazil
