Rank,Name,Country
650.0,Sukkur IBA University,Pakistan
651.0,ISCTE-University Institute of Lisbon,Portugal
652.0,The Catholic University of Korea,South Korea
653.0,University of Lincoln,United Kingdom
654.0,Tabriz University of Medical Sciences,Iran
655.0,Nantes Université,France
656.0,Prince Sattam Bin Abdulaziz University,Saudi Arabia
657.0,The University of Aizu,Japan
658.0,Nanjing Forestry University,China
659.0,COMSATS University Islamabad,Pakistan
660.0,Marche Polytechnic University,Italy
661.0,Aberystwyth University,United Kingdom
662.0,University of Calabria,Italy
663.0,Beirut Arab University,Lebanon
664.0,École Nationale des Travaux Publics de l'État (ENTPE),France
665.0,Universiti Pendidikan Sultan Idris,Malaysia
666.0,University of Sassari,Italy
667.0,"University of Nevada, Las Vegas",United States
668.0,University of Haifa,Israel
669.0,Eastern Mediterranean University,Northern Cyprus
670.0,University of Insubria,Italy
671.0,Oklahoma State University,United States
672.0,University of Lille,France
673.0,University of Palermo,Italy
674.0,Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA),Malaysia
675.0,Hiroshima University,Japan
676.0,SRUC (Scotland’s Rural College),United Kingdom
677.0,Worcester Polytechnic Institute,United States
678.0,University of Granada,Spain
679.0,Aligarh Muslim University,India
680.0,Sultan Qaboos University,Oman
681.0,"UEES, Espiritu Santo University",Ecuador
682.0,Lorestan University of Medical Sciences,Iran
683.0,Ton Duc Thang University,Vietnam
684.0,University of Bari Aldo Moro,Italy
685.0,Universitat Politècnica de Catalunya,Spain
686.0,Symbiosis International University,India
687.0,University of the Basque Country,Spain
688.0,Government College University Faisalabad,Pakistan
689.0,Tallinn University of Technology,Estonia
690.0,"University of Maryland, Baltimore County",United States
691.0,University of New Brunswick UNB,Canada
692.0,Baqiyatallah University of Medical Sciences,Iran
693.0,Lovely Professional University,India
694.0,University of Stavanger,Norway
695.0,Paris Lodron Universität Salzburg,Austria
696.0,University of Texas at Arlington,United States
697.0,De Montfort University,United Kingdom
698.0,London South Bank University,United Kingdom
699.0,University of Parma,Italy
700.0,Zhejiang Normal University,China
701.0,Air University,Pakistan
702.0,Thapar Institute of Engineering and Technology,India
703.0,University of Crete,Greece
704.0,University of Warsaw,Poland
705.0,University of Udine,Italy
706.0,Ulster University,United Kingdom
707.0,Indian Institute of Technology Patna,India
708.0,Empress Catherine II Saint Petersburg Mining University,Russian Federation
709.0,Toronto Metropolitan University,Canada
709.0,University of Brighton,United Kingdom
711.0,East China University of Science and Technology,China
712.0,Nanjing University of Aeronautics and Astronautics,China
713.0,Xidian University,China
714.0,Guangzhou University,China
715.0,American University,United States
716.0,Federal University of Rio de Janeiro,Brazil
717.0,"University of Engineering and Technology, Taxila",Pakistan
718.0,Bilkent University,Turkey
719.0,Capital Medical University,China
720.0,Shahid Beheshti University of Medical Sciences,Iran
721.0,Coventry University,United Kingdom
722.0,William & Mary,United States
723.0,Masaryk University,Czech Republic
724.0,Taif University,Saudi Arabia
725.0,Qazvin University of Medical Sciences,Iran
726.0,Qingdao University,China
727.0,Baylor University,United States
728.0,Polytechnic University of Valencia,Spain
729.0,Jönköping University,Sweden
730.0,Guangdong University of Technology,China
731.0,École des Mines de Saint-Étienne,France
732.0,Golestan University,Iran
733.0,Kurdistan University of Medical Sciences,Iran
734.0,"International Institute of Information Technology, Hyderabad",India
735.0,Universiti Tenaga Nasional (UNITEN),Malaysia
736.0,Duy Tan University,Vietnam
737.0,SUNY Binghamton University,United States
738.0,Iran University of Medical Sciences,Iran
739.0,Kobe University,Japan
740.0,University of Hertfordshire,United Kingdom
741.0,King Faisal University,Saudi Arabia
742.0,National Sun Yat-Sen University,Taiwan
743.0,University of Aveiro,Portugal
744.0,Keio University,Japan
745.0,Tecnológico de Monterrey,Mexico
746.0,Mississippi State University,United States
747.0,Babol University of Medical Sciences,Iran
748.0,Parthenope University of Naples,Italy
749.0,Kansas State University,United States
750.0,University of Lorraine,France
751.0,University of the Western Cape,South Africa
752.0,University of Rennes 1,France
753.0,South China Normal University,China
754.0,École Centrale de Lyon,France
755.0,Urmia University of Medical Sciences,Iran
756.0,University of Tuscia,Italy
757.0,Chitkara University,India
758.0,The University of Jordan,Jordan
759.0,Jiangnan University,China
760.0,American University in Cairo,Egypt
761.0,Chang Gung University,Taiwan
762.0,Ohio University (Main campus),United States
763.0,Panjab University,India
764.0,National University of Science and Technology (MISiS),Russian Federation
765.0,Nanjing Tech University,China
766.0,University of Wyoming,United States
767.0,Xi’an Jiaotong-Liverpool University,China
768.0,Gorgan University of Agricultural Sciences and Natural Resources,Iran
769.0,Rochester Institute of Technology,United States
770.0,Texas Tech University,United States
771.0,Qassim University,Saudi Arabia
772.0,University of Malakand,Pakistan
773.0,Fuzhou University,China
774.0,University of Beira Interior,Portugal
775.0,London Metropolitan University,United Kingdom
776.0,Universidade Federal do Rio Grande do Sul,Brazil
777.0,Malaviya National Institute of Technology,India
778.0,Wenzhou University,China
779.0,Innopolis University,Russian Federation
780.0,University of Hai'l,Saudi Arabia
780.0,University of Derby,United Kingdom
782.0,Mahidol University,Thailand
783.0,Alborz University of Medical Sciences,Iran
784.0,University of Toledo,United States
785.0,Kafrelsheikh University,Egypt
786.0,Future University in Egypt,Egypt
787.0,"Amity University, Noida",India
788.0,Óbuda University,Hungary
789.0,Open University of Catalonia,Spain
790.0,Capital University of Science and Technology,Pakistan
791.0,National Institute of Applied Sciences of Lyon (INSA Lyon),France
792.0,Cyprus International University,Northern Cyprus
793.0,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil
794.0,Florida Atlantic University,United States
795.0,Zhejiang University of Technology,China
796.0,Oxford Brookes University,United Kingdom
797.0,VIT University,India
798.0,"Birla Institute of Technology and Science, Pilani",India
799.0,Mazandaran University of Medical Sciences,Iran
800.0,Clark University,United States
801.0,Mansoura University,Egypt
802.0,University of Santiago de Compostela,Spain
803.0,The Catholic University of America,United States
804.0,RUDN University,Russian Federation
805.0,Abdul Wali Khan University Mardan,Pakistan
806.0,University of Regina,Canada
807.0,Norwegian University of Life Sciences,Norway
807.0,Cankaya University,Turkey
809.0,Teesside University,United Kingdom
810.0,Urmia University,Iran
811.0,University of Namur,Belgium
812.0,University of Jaén,Spain
813.0,Amedeo Avogadro University of Eastern Piedmont,Italy
814.0,University of Rhode Island,United States
815.0,Alagappa University,India
816.0,University of Córdoba,Spain
817.0,Ontario Tech University,Canada
818.0,New Mexico State University (Main campus),United States
819.0,Jawaharlal Nehru Technological University Anantapur (JNTUA),India
820.0,CY Cergy Paris University,France
821.0,National Institute of Technology Rourkela,India
822.0,North-West University,South Africa
823.0,Universidade Estadual Paulista (Unesp),Brazil
824.0,Montanuniversität Leoben,Austria
825.0,Indian Institute of Technology Guwahati,India
826.0,Manipal Academy of Higher Education,India
827.0,"International Islamic University, Islamabad",Pakistan
828.0,Nanjing Normal University,China
829.0,Bangabandhu Sheikh Mujibur Rahman Agricultural University,Bangladesh
830.0,Jamia Hamdard University,India
831.0,University of Vic – Central University of Catalonia,Spain
832.0,Tomsk Polytechnic University,Russian Federation
833.0,Kadir Has University,Turkey
834.0,University of Management and Technology,Pakistan
835.0,The University of Alabama,United States
836.0,University of Indonesia,Indonesia
837.0,Universitat Ramon Llull,Spain
838.0,Northern Illinois University,United States
839.0,ITMO University,Russian Federation
840.0,University of Salford,United Kingdom
841.0,Jahangirnagar University,Bangladesh
842.0,University of Kashan,Iran
843.0,Shiraz University of Medical Sciences,Iran
844.0,University of Lleida,Spain
845.0,Universiti Teknologi Brunei,Brunei Darussalam
846.0,Bharathiar University,India
847.0,Waseda University,Japan
848.0,Daffodil International University (DIU),Bangladesh
849.0,Panthéon-Sorbonne University – Paris 1,France
850.0,Jouf University,Saudi Arabia
851.0,"University of Veterinary and Animal Sciences, Lahore",Pakistan
852.0,University of Roehampton,United Kingdom
853.0,Hacettepe University,Turkey
854.0,Jazan University,Saudi Arabia
855.0,University of Rome III,Italy
856.0,King Mongkut’s University of Technology Thonburi,Thailand
857.0,Czech University of Life Sciences Prague (CZU),Czech Republic
858.0,National Technical University of Athens,Greece
859.0,KL University,India
860.0,Kalasalingam Academy of Research and Education,India
861.0,King Saud bin Abdulaziz University for Health Sciences,Saudi Arabia
862.0,Jordan University of Science and Technology,Jordan
863.0,China University of Petroleum (East China),China
864.0,University of Delhi,India
865.0,Nanjing Medical University,China
866.0,Jawaharlal Nehru University,India
867.0,University of Debrecen,Hungary
868.0,Reykjavík University,Iceland
869.0,Arak University of Medical Sciences,Iran
870.0,European University Cyprus,Cyprus
871.0,Lahore University of Management Sciences,Pakistan
872.0,Hanoi Medical University,Vietnam
873.0,University of Tabuk,Saudi Arabia
874.0,Southern Illinois University Carbondale,United States
875.0,University of Campania Luigi Vanvitelli,Italy
876.0,Leeds Beckett University,United Kingdom
877.0,Cairo University,Egypt
878.0,University of Seville,Spain
879.0,National Institute of Technology Silchar,India
880.0,University of Lahore,Pakistan
881.0,Southwest Jiaotong University,China
882.0,University of Vigo,Spain
883.0,Imam Khomeini International University,Iran
884.0,Institute of Chemical Technology,India
885.0,Harbin Engineering University,China
886.0,Mashhad University of Medical Sciences,Iran
887.0,Northeast Agricultural University,China
888.0,University of Cape Coast,Ghana
889.0,University of Salamanca,Spain
890.0,Golestan University of Medical Sciences,Iran
891.0,Glasgow Caledonian University,United Kingdom
892.0,Birjand University of Medical Sciences,Iran
892.0,Aristotle University of Thessaloniki,Greece
894.0,Kerman University of Medical Sciences,Iran
895.0,Inha University,South Korea
896.0,University of Westminster,United Kingdom
897.0,Eötvös Loránd University,Hungary
